Arabidopsis thaliana, AT3G10340, PAL4, phenylalanine ammonia-lyase 4, KO:K10775, EC:4.3.1.24, Arabidopsis thaliana, AT3G53260, 
PAL2, phenylalanine ammonia-lyase 2, KO:K10775, EC:4.3.1.24, Arabidopsis thaliana, AT2G37040, PAL1, 
Arabidopsis thaliana, AT4G31760, peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT4G33420, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT4G36430, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT4G37520, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, 
AT4G37530, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G05340, PRX52, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G06720, PA2, peroxidase 2, 
KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G06730, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, 
Arabidopsis thaliana, AT5G14130, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G15180, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G17820, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT5G19890, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, 
AT5G22410, RHS18, root hair specific 18, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G24070, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G40150, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT5G42180, PER64, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, 
Arabidopsis thaliana, AT5G47000, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G51890, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G58390, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT5G58400, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, 
AT5G64100, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G64110, Peroxidase superfamily protein, 
KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G64120, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, 
Arabidopsis thaliana, AT5G66390, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G67400, 
RHS19, root hair specific 19, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT1G05260, RCI3, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT1G14540, PER4, Peroxidase superfamily protein, 
KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT1G14550, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, 
Arabidopsis thaliana, AT1G24110, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT1G30870, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT1G34510, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT1G44970, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, 
AT2G38380, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT3G49110, PRXCA, 
peroxidase CA, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT3G32980, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT1G05240, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, 
AT4G25980, peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT1G77100, peroxidase superfamily protein, 
KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT3G50990, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, 
Arabidopsis thaliana, AT1G05250, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT2G35380, 
Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, AT5G39580, Peroxidase superfamily protein, KO:K00430, 
EC:1.11.1.7, Arabidopsis thaliana, AT4G33870, Peroxidase superfamily protein, KO:K00430, EC:1.11.1.7, Arabidopsis thaliana, 
AT5G26310, UGT72E3, UDP-Glycosyltransferase superfamily protein, KO:K12356, EC:2.4.1.111, Arabidopsis thaliana, AT3G50740, 
UGT72E1, UDP-glucosyl transferase 72E1, KO:K12356, EC:2.4.1.111, Arabidopsis thaliana, AT5G66690, UGT72E2, 
UDP-Glycosyltransferase superfamily protein, KO:K12356, EC:2.4.1.111, Arabidopsis thaliana, AT3G21560, UGT84A2, UDP-Glycosyltransferase superfamily protein, 
KO:K13068, EC:2.4.1.120, Arabidopsis thaliana, AT5G09640, SCPL19, serine carboxypeptidase-like 19, KO:K09756, 
EC:3.4.16.- 2.3.1.91, Arabidopsis thaliana, AT2G22990, SNG1, sinapoylglucose 1, KO:K09757, EC:3.4.16.- 2.3.1.92, 
Arabidopsis thaliana, AT5G42260, BGLU12, beta glucosidase 12, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, 
AT5G44640, BGLU13, beta glucosidase 13, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT2G44450, 
BGLU15, beta glucosidase 15, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT1G26560, BGLU40, 
beta glucosidase 40, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT2G44480, BGLU17, beta glucosidase 17, 
KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G47050, Glycosyl hydrolase family protein, KO:K01188, EC:3.2.1.21, 
Arabidopsis thaliana, AT1G75940, ATA27, Glycosyl hydrolase superfamily protein, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, 
AT1G66280, BGLU22, Glycosyl hydrolase superfamily protein, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT1G66270, 
BGLU21, Glycosyl hydrolase superfamily protein, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G09260, PYK10, 
Glycosyl hydrolase superfamily protein, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT5G28510, BGLU24, beta glucosidase 24, 
KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT5G36890, BGLU42, beta glucosidase 42, KO:K01188, 
EC:3.2.1.21, Arabidopsis thaliana, AT5G54570, BGLU41, beta glucosidase 41, KO:K01188, EC:3.2.1.21, 
Arabidopsis thaliana, AT2G32860, BGLU33, beta glucosidase 33, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, 
AT3G03640, BGLU25, beta glucosidase 25, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G21370, 
BGLU19, beta glucosidase 19, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G60130, BGLU16, 
beta glucosidase 16, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT2G25630, BGLU14, beta glucosidase 14, 
KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G60140, DIN2, Glycosyl hydrolase superfamily protein, KO:K01188, 
EC:3.2.1.21, Arabidopsis thaliana, AT2G44470, BGLU29, beta glucosidase 29, KO:K01188, EC:3.2.1.21, 
Arabidopsis thaliana, AT2G44460, BGLU28, beta glucosidase 28, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, 
AT2G44490, PEN2, Glycosyl hydrolase superfamily protein, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT5G24550, 
BGLU32, beta glucosidase 32, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT5G24540, BGLU31, 
beta glucosidase 31, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G60120, BGLU27, beta glucosidase 27, 
KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT1G02850, BGLU11, beta glucosidase 11, KO:K01188, 
EC:3.2.1.21, Arabidopsis thaliana, AT1G45191, BGLU1, Glycosyl hydrolase superfamily protein, KO:K01188, EC:3.2.1.21, 
Arabidopsis thaliana, AT4G22100, BGLU3, beta glucosidase 2, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, 
AT4G27830, BGLU10, beta glucosidase 10, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G62750, 
BGLU8, beta glucosidase 8, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT5G16580, BGLU2, 
beta glucosidase 2, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT1G60270, BGLU6, beta glucosidase 6, 
KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, AT3G62740, BGLU7, beta glucosidase 7, KO:K01188, 
EC:3.2.1.21, Arabidopsis thaliana, AT4G27820, BGLU9, beta glucosidase 9, KO:K01188, EC:3.2.1.21, 
Arabidopsis thaliana, AT1G60260, BGLU5, beta glucosidase 5, KO:K01188, EC:3.2.1.21, Arabidopsis thaliana, 
AT3G47000, Glycosyl hydrolase family protein, KO:K05349, EC:3.2.1.21, Arabidopsis thaliana, AT5G20950, Glycosyl hydrolase family protein, 
KO:K05349, EC:3.2.1.21, Arabidopsis thaliana, AT5G20940, Glycosyl hydrolase family protein, KO:K05349, EC:3.2.1.21, 
Arabidopsis thaliana, AT3G47040, Glycosyl hydrolase family protein, KO:K05349, EC:3.2.1.21, Arabidopsis thaliana, AT5G04885, 
Glycosyl hydrolase family protein, KO:K05349, EC:3.2.1.21, Arabidopsis thaliana, AT3G47010, Glycosyl hydrolase family protein, KO:K05349, 
EC:3.2.1.21, Arabidopsis thaliana, AT3G18080, BGLU44, B-S glucosidase 44, KO:K05350, EC:3.2.1.21, 
Arabidopsis thaliana, AT1G61820, BGLU46, beta glucosidase 46, KO:K05350, EC:3.2.1.21, Arabidopsis thaliana, 
AT4G21760, BGLU47, beta-glucosidase 47, KO:K05350, EC:3.2.1.21, Arabidopsis thaliana, AT1G61810, 
BGLU45, beta-glucosidase 45, KO:K05350, EC:3.2.1.21, Arabidopsis thaliana, AT3G18070, BGLU43, 
beta glucosidase 43, KO:K05350, EC:3.2.1.21, Arabidopsis thaliana, AT1G74540, CYP98A8, cytochrome P450, family 98, subfamily A, polypeptide 8, 
KO:K15506, EC:1.14.13.-, Arabidopsis thaliana, AT1G74550, CYP98A9, cytochrome P450, family 98, subfamily A, polypeptide 9, KO:K23662, 
EC:1.14.13.-, Arabidopsis thaliana, AT1G67990, TSM1, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein, KO:K13067, EC:2.1.1.-, 
Arabidopsis thaliana, AT3G13610, 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, KO:K06892, EC:1.14.11.61, Arabidopsis thaliana, AT1G55290, 
2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, KO:K06892, EC:1.14.11.61, 
