Vigna radiata, 106755252, phenylalanine ammonia-lyase class 1, KO:K10775, EC:4.3.1.24, Vigna radiata, 106772504, phenylalanine ammonia-lyase 2, 
salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Vigna radiata, 106775585, spermidine hydroxycinnamoyl transferase-like, KO:K13065, 
EC:2.3.1.133, Vigna radiata, 106779097, salutaridinol 7-O-acetyltransferase, KO:K13065, EC:2.3.1.133, Vigna radiata, 
106761674, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Vigna radiata, 106776117, spermidine hydroxycinnamoyl transferase, 
KO:K13065, EC:2.3.1.133, Vigna radiata, 106760839, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Vigna radiata, 106775076, fatty alcohol:caffeoyl-CoA acyltransferase isoform X1, KO:K13065, EC:2.3.1.133, Vigna radiata, 106767486, 
salutaridinol 7-O-acetyltransferase, KO:K13065, EC:2.3.1.133, Vigna radiata, 106766496, spermidine hydroxycinnamoyl transferase, KO:K13065, 
EC:2.3.1.133, Vigna radiata, 106753926, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Vigna radiata, 
106768484, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Vigna radiata, 106757898, caffeoylshikimate esterase isoform X1, 
KO:K18368, EC:3.1.1.-, Vigna radiata, 106766991, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, 
Vigna radiata, 106769844, caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Vigna radiata, 106766573, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Vigna radiata, 106770842, caffeoylshikimate esterase isoform X1, KO:K18368, 
EC:3.1.1.-, Vigna radiata, 106769006, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Vigna radiata, 
106765809, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Vigna radiata, 106767069, caffeoyl-CoA O-methyltransferase 5, 
KO:K00588, EC:2.1.1.104, Vigna radiata, 106767859, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, 
Vigna radiata, 106776906, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Vigna radiata, 106762574, 
cinnamoyl-CoA reductase 1, KO:K09753, EC:1.2.1.44, Vigna radiata, 106773575, cinnamoyl-CoA reductase 1, KO:K09753, 
EC:1.2.1.44, Vigna radiata, 106774202, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Vigna radiata, 
106765648, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Vigna radiata, 106780471, aldehyde dehydrogenase family 2 member C4-like, 
KO:K12355, EC:1.2.1.68, Vigna radiata, 106766580, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Vigna radiata, 106766579, aldehyde dehydrogenase family 2 member C4, KO:K12355, EC:1.2.1.68, Vigna radiata, 106765924, 
cytochrome P450 84A1, KO:K09755, EC:1.14.-.-, Vigna radiata, 106776378, cytochrome P450 84A1, KO:K09755, 
EC:1.14.-.-, Vigna radiata, 106753579, isoliquiritigenin 2'-O-methyltransferase, KO:K13066, EC:2.1.1.68, Vigna radiata, 
106764425, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Vigna radiata, 106760166, anthranilate N-methyltransferase-like isoform X1, 
KO:K13066, EC:2.1.1.68, Vigna radiata, 106760167, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Vigna radiata, 106760169, anthranilate N-methyltransferase, KO:K13066, EC:2.1.1.68, Vigna radiata, 106772596, 
probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, Vigna radiata, 106775051, probable cinnamyl alcohol dehydrogenase 1 isoform X2, KO:K00083, 
EC:1.1.1.195, Vigna radiata, 106762982, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Vigna radiata, 
106774466, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Vigna radiata, 106752791, berberine bridge enzyme-like 13, 
KO:K22395, EC:1.1.1.195, Vigna radiata, 106752794, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, 
Vigna radiata, 106752817, cannabidiolic acid synthase-like 1, KO:K22395, EC:1.1.1.195, Vigna radiata, 106752836, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Vigna radiata, 106752838, cannabidiolic acid synthase-like 1, KO:K22395, 
EC:1.1.1.195, Vigna radiata, 106752853, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Vigna radiata, 
106752863, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Vigna radiata, 106771312, reticuline oxidase-like, 
KO:K22395, EC:1.1.1.195, Vigna radiata, 106768028, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, 
Vigna radiata, 106776777, peroxidase 28-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106752471, 
peroxidase P7, KO:K00430, EC:1.11.1.7, Vigna radiata, 106752814, peroxidase 20-like, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106753956, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106752487, cationic peroxidase 1 isoform X1, KO:K00430, EC:1.11.1.7, Vigna radiata, 106752497, peroxidase 4, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106753822, peroxidase 55, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106753589, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106753622, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106752486, cationic peroxidase 1, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106753800, peroxidase 44, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106752718, peroxidase P7, KO:K00430, EC:1.11.1.7, Vigna radiata, 106753859, peroxidase 44, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106755192, peroxidase 17, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106755204, peroxidase 16, KO:K00430, EC:1.11.1.7, Vigna radiata, 106754850, 
peroxidase 5, KO:K00430, EC:1.11.1.7, Vigna radiata, 106755305, peroxidase 11 isoform X2, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106757079, peroxidase A2, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106755692, peroxidase 3, KO:K00430, EC:1.11.1.7, Vigna radiata, 106755828, lignin-forming anionic peroxidase, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106755829, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106755830, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106756390, 
peroxidase P7, KO:K00430, EC:1.11.1.7, Vigna radiata, 106757442, peroxidase 3-like, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106754442, peroxidase P7, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106754445, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106754295, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106754427, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106754928, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106759677, 
peroxidase 12-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106763372, peroxidase P7, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106766956, peroxidase 72, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106771659, peroxidase 5, KO:K00430, EC:1.11.1.7, Vigna radiata, 106775136, cationic peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106760051, peroxidase 7-like, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106768336, peroxidase N-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106764062, 
cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Vigna radiata, 106764098, peroxidase 21 isoform X1, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106778597, peroxidase P7, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106775577, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106775758, peroxidase E5, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106775759, peroxidase A2, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106775780, peroxidase E5, KO:K00430, EC:1.11.1.7, Vigna radiata, 106775781, 
peroxidase A2, KO:K00430, EC:1.11.1.7, Vigna radiata, 106776936, peroxidase 51, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106763008, peroxidase 47, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106765443, peroxidase 66, KO:K00430, EC:1.11.1.7, Vigna radiata, 106765507, peroxidase 12, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106758569, cationic peroxidase 1, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106764437, peroxidase 64 isoform X1, KO:K00430, EC:1.11.1.7, Vigna radiata, 106764454, 
peroxidase 45-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106767023, peroxidase 10, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106761784, peroxidase 7-like isoform X1, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106769154, peroxidase 42, KO:K00430, EC:1.11.1.7, Vigna radiata, 106777295, peroxidase 20, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106778478, probable peroxidase 26, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106778502, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Vigna radiata, 106770598, 
peroxidase 65-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106775225, cationic peroxidase 2, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106769628, peroxidase 12, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106770778, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106771024, peroxidase 12, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106776833, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106776836, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106764158, 
peroxidase 46, KO:K00430, EC:1.11.1.7, Vigna radiata, 106766522, peroxidase 40, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106768540, peroxidase 12, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106779818, peroxidase 20-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106760986, peroxidase 39, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106757687, peroxidase 25, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106758861, cationic peroxidase 1, KO:K00430, EC:1.11.1.7, Vigna radiata, 106763811, 
peroxidase P7, KO:K00430, EC:1.11.1.7, Vigna radiata, 106763813, peroxidase P7, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106763814, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106763897, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 106760430, peroxidase 46-like, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106777170, peroxidase 10, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106764501, peroxidase 9, KO:K00430, EC:1.11.1.7, Vigna radiata, 106769244, 
peroxidase 73, KO:K00430, EC:1.11.1.7, Vigna radiata, 106771536, peroxidase 3, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106767105, peroxidase 16, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106770657, LOW QUALITY PROTEIN: peroxidase 66, KO:K00430, EC:1.11.1.7, Vigna radiata, 106771800, cationic peroxidase 1, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106766120, peroxidase 31-like, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106768541, peroxidase 19, KO:K00430, EC:1.11.1.7, Vigna radiata, 106770882, 
peroxidase A2, KO:K00430, EC:1.11.1.7, Vigna radiata, 106770893, peroxidase 47, KO:K00430, 
EC:1.11.1.7, Vigna radiata, 106777813, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 
106765194, peroxidase 4, KO:K00430, EC:1.11.1.7, Vigna radiata, 106775744, peroxidase A2-like, 
KO:K00430, EC:1.11.1.7, Vigna radiata, 106776907, peroxidase 72, KO:K00430, EC:1.11.1.7, 
Vigna radiata, 106763788, peroxidase 40-like, KO:K00430, EC:1.11.1.7, Vigna radiata, 111241154, 
uncharacterized protein LOC111241154, KO:K00430, EC:1.11.1.7, Vigna radiata, 106769350, anthocyanidin 3-O-glucosyltransferase 5-like isoform X2, KO:K12356, 
EC:2.4.1.111, Vigna radiata, 106776643, UDP-glycosyltransferase 72E2, KO:K12356, EC:2.4.1.111, Vigna radiata, 
106777897, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Vigna radiata, 106753794, cyanogenic beta-glucosidase isoform X1, 
KO:K01188, EC:3.2.1.21, Vigna radiata, 106753924, cyanogenic beta-glucosidase, KO:K01188, EC:3.2.1.21, 
Vigna radiata, 106755284, beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Vigna radiata, 106756365, 
cyanogenic beta-glucosidase, KO:K01188, EC:3.2.1.21, Vigna radiata, 106756433, beta-glucosidase 13, KO:K01188, 
EC:3.2.1.21, Vigna radiata, 106758267, beta-glucosidase 13, KO:K01188, EC:3.2.1.21, Vigna radiata, 
106758564, beta-glucosidase 12, KO:K01188, EC:3.2.1.21, Vigna radiata, 106758578, beta-glucosidase 11, 
KO:K01188, EC:3.2.1.21, Vigna radiata, 106758615, beta-glucosidase 11, KO:K01188, EC:3.2.1.21, 
Vigna radiata, 106762139, beta-glucosidase 42, KO:K01188, EC:3.2.1.21, Vigna radiata, 106769201, 
beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Vigna radiata, 106771962, cyanogenic beta-glucosidase, KO:K01188, 
EC:3.2.1.21, Vigna radiata, 106778493, beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Vigna radiata, 
106778500, cyanogenic beta-glucosidase-like, KO:K01188, EC:3.2.1.21, Vigna radiata, 106778510, beta-glucosidase 12-like, 
KO:K01188, EC:3.2.1.21, Vigna radiata, 106779155, putative beta-glucosidase 41 isoform X2, KO:K01188, EC:3.2.1.21, 
Vigna radiata, 106753993, uncharacterized protein LOC106753993 isoform X1, KO:K05349, EC:3.2.1.21, Vigna radiata, 106753860, 
uncharacterized protein LOC106753860 isoform X1, KO:K05349, EC:3.2.1.21, Vigna radiata, 106766997, uncharacterized protein LOC106766997, KO:K05349, 
EC:3.2.1.21, Vigna radiata, 106764611, uncharacterized protein LOC106764611 isoform X1, KO:K05349, EC:3.2.1.21, Vigna radiata, 
106757793, uncharacterized protein LOC106757793, KO:K05349, EC:3.2.1.21, Vigna radiata, 106775961, uncharacterized protein LOC106775961, 
KO:K05349, EC:3.2.1.21, Vigna radiata, 106772324, uncharacterized protein LOC106772324, KO:K05349, EC:3.2.1.21, 
Vigna radiata, 106775999, uncharacterized protein LOC106775999, KO:K05349, EC:3.2.1.21, Vigna radiata, 106766126, 
uncharacterized protein LOC106766126, KO:K05349, EC:3.2.1.21, Vigna radiata, 106754631, beta-glucosidase 18, KO:K05350, 
EC:3.2.1.21, Vigna radiata, 106762971, beta-glucosidase 18 isoform X1, KO:K05350, EC:3.2.1.21, Vigna radiata, 
106766577, beta-glucosidase 46, KO:K05350, EC:3.2.1.21, Vigna radiata, 106772693, beta-glucosidase 44, 
KO:K05350, EC:3.2.1.21, Vigna radiata, 106775998, beta-glucosidase 47, KO:K05350, EC:3.2.1.21, 
Vigna radiata, 106767544, beta-glucosidase 46, KO:K05350, EC:3.2.1.21, Vigna radiata, 106775915, 
beta-glucosidase 47, KO:K05350, EC:3.2.1.21, Vigna radiata, 106773844, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, Vigna radiata, 106765515, scopoletin glucosyltransferase-like isoform X1, KO:K23260, EC:2.4.1.128, Vigna radiata, 
106776507, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Vigna radiata, 106776553, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Vigna radiata, 106767590, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
Vigna radiata, 106778516, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like, KO:K23260, EC:2.4.1.128, 
