Nicotiana tomentosiformis, 104100767, phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Nicotiana tomentosiformis, 104092690, phenylalanine ammonia-lyase G4-like, 
104108723, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104112495, omega-hydroxypalmitate O-feruloyl transferase, 
KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104086263, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, 
Nicotiana tomentosiformis, 104098930, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104106456, 
agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104120177, acylsugar acyltransferase 3-like, KO:K13065, 
EC:2.3.1.133, Nicotiana tomentosiformis, 104110116, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 
104106633, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104104372, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104115385, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana tomentosiformis, 104116773, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104121327, 
acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 104099491, acylsugar acyltransferase 3-like, KO:K13065, 
EC:2.3.1.133, Nicotiana tomentosiformis, 104099492, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana tomentosiformis, 
104088297, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana tomentosiformis, 104092594, cytochrome P450 98A2-like, 
KO:K09754, EC:1.14.14.96, Nicotiana tomentosiformis, 104119156, cytochrome P450 98A2-like isoform X1, KO:K09754, EC:1.14.14.96, 
Nicotiana tomentosiformis, 104112912, cytochrome P450 98A3-like, KO:K09754, EC:1.14.14.96, Nicotiana tomentosiformis, 104106881, 
caffeoylshikimate esterase isoform X1, KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, 104113974, caffeoylshikimate esterase-like, KO:K18368, 
EC:3.1.1.-, Nicotiana tomentosiformis, 104090174, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, 
104119860, caffeoylshikimate esterase-like isoform X1, KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, 104116745, caffeoylshikimate esterase, 
KO:K18368, EC:3.1.1.-, Nicotiana tomentosiformis, 104113520, caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, 
Nicotiana tomentosiformis, 104098960, caffeoyl-CoA O-methyltransferase 2, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, 104098961, 
caffeoyl-CoA O-methyltransferase 3, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, 104094412, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Nicotiana tomentosiformis, 104095631, caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, 
104099503, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana tomentosiformis, 104090926, cinnamoyl-CoA reductase 2-like, 
KO:K09753, EC:1.2.1.44, Nicotiana tomentosiformis, 104121164, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Nicotiana tomentosiformis, 104118179, aldehyde dehydrogenase family 2 member C4 isoform X1, KO:K12355, EC:1.2.1.68, Nicotiana tomentosiformis, 104102219, 
LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Nicotiana tomentosiformis, 104112840, caffeic acid 3-O-methyltransferase-like isoform X1, KO:K13066, 
EC:2.1.1.68, Nicotiana tomentosiformis, 104093759, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana tomentosiformis, 
104113085, caffeic acid 3-O-methyltransferase 1-like, KO:K13066, EC:2.1.1.68, Nicotiana tomentosiformis, 104119462, probable cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, 104086590, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, 
Nicotiana tomentosiformis, 104092443, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, 104114354, 
probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Nicotiana tomentosiformis, 104106576, flavin-dependent oxidoreductase FOX2-like, KO:K22395, 
EC:1.1.1.195, Nicotiana tomentosiformis, 104097238, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, 
104087288, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, 104088884, reticuline oxidase-like, 
KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, 104115234, flavin-dependent oxidoreductase FOX1-like, KO:K22395, EC:1.1.1.195, 
Nicotiana tomentosiformis, 104117760, flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Nicotiana tomentosiformis, 104105996, 
1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana tomentosiformis, 104112002, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104113735, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104113747, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 108945092, peroxidase 17-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104095506, peroxidase 63-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104095520, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104090952, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104093718, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104093719, peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104105218, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104112548, peroxidase 3-like isoform X2, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104112578, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104112579, peroxidase N isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104108143, 
peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104111761, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104114274, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104119379, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104113414, peroxidase 72-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104118432, peroxidase 44, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 108947858, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104089809, 
peroxidase 60, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104097756, putative Peroxidase 48, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104107720, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104100743, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104108241, peroxidase 19, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104109391, probable peroxidase 61, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104111835, peroxidase 40-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104115668, 
suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104115669, suberization-associated anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104093747, peroxidase 41-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104099772, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104099773, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104110141, peroxidase 7, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 108944356, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104089561, 
peroxidase 29-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104084573, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104084580, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104090400, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104096471, peroxidase 21-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104102129, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104103508, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104084590, 
peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104091124, peroxidase 64-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104091125, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104099053, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104099054, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104099057, peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104101620, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104104172, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104104199, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104111450, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104107054, peroxidase 41-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104111967, peroxidase 11, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104108537, peroxidase 47, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104112283, peroxidase 51-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104114742, 
peroxidase 66, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104114031, peroxidase 46 isoform X1, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104116546, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104120333, peroxidase 3, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104120334, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104086498, peroxidase 3-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104086529, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104085745, 
peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104088314, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104084693, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104099174, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104101759, peroxidase 16-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104094972, peroxidase 9, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104098335, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104100861, 
peroxidase 55, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104096057, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104101220, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104106202, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104106217, peroxidase 42, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104112837, peroxidase N1, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104115114, putative Peroxidase 48 isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104117883, 
peroxidase 6-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104121074, peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104094015, peroxidase 21, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104097469, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104099968, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104099995, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104094555, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104094568, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104099248, peroxidase 51-like, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104112459, peroxidase 17, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104115379, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104115380, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104117942, suberization-associated anionic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104116208, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104118746, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104084860, peroxidase 72, KO:K00430, 
EC:1.11.1.7, Nicotiana tomentosiformis, 104089311, peroxidase 9-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 
104094109, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104098837, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104104464, peroxidase 43-like, KO:K00430, EC:1.11.1.7, 
Nicotiana tomentosiformis, 104111707, peroxidase 25, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104114182, 
peroxidase 57-like, KO:K00430, EC:1.11.1.7, Nicotiana tomentosiformis, 104090143, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
EC:2.4.1.111, Nicotiana tomentosiformis, 104111131, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana tomentosiformis, 
104114189, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana tomentosiformis, 104102460, anthocyanidin 3-O-glucosyltransferase 5-like isoform X2, 
KO:K12356, EC:2.4.1.111, Nicotiana tomentosiformis, 104114378, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Nicotiana tomentosiformis, 104090602, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Nicotiana tomentosiformis, 104099451, 
beta-glucosidase 42, KO:K01188, EC:3.2.1.21, Nicotiana tomentosiformis, 104108570, putative beta-glucosidase 41 isoform X1, KO:K01188, 
EC:3.2.1.21, Nicotiana tomentosiformis, 104121503, beta-glucosidase 40 isoform X2, KO:K01188, EC:3.2.1.21, Nicotiana tomentosiformis, 
104107187, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 104111787, uncharacterized protein LOC104111787, 
KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 104085852, uncharacterized protein LOC104085852, KO:K05349, EC:3.2.1.21, 
Nicotiana tomentosiformis, 104104561, uncharacterized protein LOC104104561, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 104112704, 
uncharacterized protein LOC104112704, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 104102999, uncharacterized protein LOC104102999 isoform X1, KO:K05349, 
EC:3.2.1.21, Nicotiana tomentosiformis, 104103000, uncharacterized protein LOC104103000 isoform X1, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 
104091760, uncharacterized protein LOC104091760, KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 104098373, uncharacterized protein LOC104098373, 
KO:K05349, EC:3.2.1.21, Nicotiana tomentosiformis, 104114036, uncharacterized protein LOC104114036, KO:K05349, EC:3.2.1.21, 
Nicotiana tomentosiformis, 104115503, beta-glucosidase 18, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 104100272, 
beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 104100274, beta-glucosidase 18-like isoform X1, KO:K05350, 
EC:3.2.1.21, Nicotiana tomentosiformis, 104102377, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 
104120252, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 104094910, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 104095654, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, 
Nicotiana tomentosiformis, 104097812, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 104109728, 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana tomentosiformis, 104115299, beta-glucosidase 44-like, KO:K05350, 
EC:3.2.1.21, Nicotiana tomentosiformis, 104111996, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, 
104106843, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, 104086193, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, 104106751, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, 
Nicotiana tomentosiformis, 104106844, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, 104085679, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana tomentosiformis, 104085681, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, Nicotiana tomentosiformis, 104096339, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Nicotiana tomentosiformis, 
104113912, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, 
