Nicotiana attenuata, 109233353, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana attenuata, 109231224, phenylalanine ammonia-lyase-like, 
EC:2.3.1.133, Nicotiana attenuata, 109237700, agmatine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 
109235919, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109241609, acetyl-CoA-benzylalcohol acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109209235, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana attenuata, 109234193, salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109210489, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109212708, shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Nicotiana attenuata, 109220540, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 
109226461, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109229836, agmatine coumaroyltransferase-2-like, 
KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109231066, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, 
Nicotiana attenuata, 109210740, acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109206370, 
acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109206371, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Nicotiana attenuata, 109207449, agmatine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 
109209745, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109225602, acylsugar acyltransferase 3-like, 
KO:K13065, EC:2.3.1.133, Nicotiana attenuata, 109221014, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, 
Nicotiana attenuata, 109228215, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana attenuata, 109239726, 
cytochrome P450 98A3-like, KO:K09754, EC:1.14.14.96, Nicotiana attenuata, 109239730, cytochrome P450 98A2-like, KO:K09754, 
EC:1.14.14.96, Nicotiana attenuata, 109226043, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, 
109241506, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, 109221755, caffeoylshikimate esterase-like, 
KO:K18368, EC:3.1.1.-, Nicotiana attenuata, 109221787, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Nicotiana attenuata, 109239580, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, 109208011, 
caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Nicotiana attenuata, 109230380, caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, 
EC:2.1.1.104, Nicotiana attenuata, 109232738, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, 
109244656, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, 109230873, caffeoyl-CoA O-methyltransferase 3, 
KO:K00588, EC:2.1.1.104, Nicotiana attenuata, 109215873, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Nicotiana attenuata, 109236417, caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, 109213146, 
caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, Nicotiana attenuata, 109223865, cinnamoyl-CoA reductase 2-like, KO:K09753, 
EC:1.2.1.44, Nicotiana attenuata, 109218000, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Nicotiana attenuata, 
109226531, aldehyde dehydrogenase family 2 member C4 isoform X1, KO:K12355, EC:1.2.1.68, Nicotiana attenuata, 109225432, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Nicotiana attenuata, 109207707, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Nicotiana attenuata, 109216530, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana attenuata, 109213341, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Nicotiana attenuata, 109214785, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Nicotiana attenuata, 109238560, caffeic acid 3-O-methyltransferase 1-like, KO:K13066, EC:2.1.1.68, Nicotiana attenuata, 
109224003, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, 109211156, probable cinnamyl alcohol dehydrogenase 6 isoform X1, 
KO:K00083, EC:1.1.1.195, Nicotiana attenuata, 109215557, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, 
Nicotiana attenuata, 109227369, probable cinnamyl alcohol dehydrogenase 2, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, 109237618, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Nicotiana attenuata, 109225675, probable mannitol dehydrogenase, KO:K00083, 
EC:1.1.1.195, Nicotiana attenuata, 109208965, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, 
109214673, berberine bridge enzyme-like 28, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, 109239417, berberine bridge enzyme-like 13, 
KO:K22395, EC:1.1.1.195, Nicotiana attenuata, 109216172, berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, 
Nicotiana attenuata, 109209749, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, 109231301, 
reticuline oxidase-like, KO:K22395, EC:1.1.1.195, Nicotiana attenuata, 109220181, 1-Cys peroxiredoxin A-like, KO:K11188, 
EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana attenuata, 109209348, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana attenuata, 
109219378, 1-Cys peroxiredoxin A-like, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Nicotiana attenuata, 109209835, LOW QUALITY PROTEIN: peroxidase 4-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109205281, peroxidase 44-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109244548, probable peroxidase 61, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109244549, 
probable peroxidase 61, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109208039, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109213731, peroxidase 7, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109243889, peroxidase 24, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109243913, peroxidase 47, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109208307, putative Peroxidase 48 isoform X1, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109213843, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109229322, 
peroxidase 16-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109233928, peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109227564, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109238731, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109239443, peroxidase 46-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109216029, peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109222909, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109236584, 
peroxidase 44-like isoform X1, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109240462, putative Peroxidase 48, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109211677, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109213933, peroxidase 6-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109220699, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109221828, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109223055, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109219075, 
peroxidase 51-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109224834, peroxidase 64-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109228178, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109230534, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109236221, peroxidase 11-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109237653, peroxidase 44-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109240170, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109241900, 
peroxidase 70-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109241907, putative Peroxidase 48, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109243963, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109243964, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109232993, peroxidase 29-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109238422, peroxidase 21, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109239099, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109241644, 
peroxidase 60-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109239219, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109240832, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109240833, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109241790, peroxidase 41-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109212375, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109212392, peroxidase 63-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109206987, 
peroxidase 17, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109214729, LOW QUALITY PROTEIN: peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109226033, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109215884, peroxidase N1, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109205963, peroxidase P7-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109208228, peroxidase 16-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109210461, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109210470, 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109220012, peroxidase 42, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109220071, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109224671, peroxidase 9-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109225801, peroxidase 19, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109225812, peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109225813, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109225818, 
peroxidase 6-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109230585, peroxidase 9-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109237172, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109241688, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109241690, peroxidase N-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109222867, peroxidase 11-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109235008, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109235023, 
peroxidase 9, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109235038, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109235055, peroxidase 55-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109240101, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109243004, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109206445, peroxidase 66, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109205125, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109217331, 
peroxidase 15-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109217340, peroxidase 41-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109244298, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109228834, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109233410, peroxidase 10-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109244050, peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109209821, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109209832, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109209833, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109209837, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109209838, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109208508, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109224503, peroxidase 40-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109215164, peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109215166, 
peroxidase 72-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109221969, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109226832, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109229091, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109228907, cationic peroxidase 1-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109234612, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109241163, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109242144, 
peroxidase 21-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109243122, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109205469, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109214329, peroxidase 52-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109222274, peroxidase 55-like, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109219730, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, 
Nicotiana attenuata, 109220910, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109220932, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109223320, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Nicotiana attenuata, 109223321, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 
109213302, suberization-associated anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109216609, peroxidase 25, 
KO:K00430, EC:1.11.1.7, Nicotiana attenuata, 109220308, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Nicotiana attenuata, 109211135, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana attenuata, 109208312, 
anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, Nicotiana attenuata, 109215282, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
EC:2.4.1.111, Nicotiana attenuata, 109238864, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Nicotiana attenuata, 
109216074, beta-glucosidase 40-like, KO:K01188, EC:3.2.1.21, Nicotiana attenuata, 109228888, putative beta-glucosidase 41 isoform X1, 
KO:K01188, EC:3.2.1.21, Nicotiana attenuata, 109239403, beta-glucosidase 42 isoform X1, KO:K01188, EC:3.2.1.21, 
Nicotiana attenuata, 109235471, uncharacterized protein LOC109235471, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 109240179, 
uncharacterized protein LOC109240179, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 109205647, uncharacterized protein LOC109205647, KO:K05349, 
EC:3.2.1.21, Nicotiana attenuata, 109234023, uncharacterized protein LOC109234023 isoform X1, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 
109236201, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 109240178, uncharacterized protein LOC109240178 isoform X1, 
KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 109211436, uncharacterized protein LOC109211436, KO:K05349, EC:3.2.1.21, 
Nicotiana attenuata, 109231723, uncharacterized protein LOC109231723, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 109239553, 
uncharacterized protein LOC109239553, KO:K05349, EC:3.2.1.21, Nicotiana attenuata, 109213055, uncharacterized protein LOC109213055 isoform X1, KO:K05349, 
EC:3.2.1.21, Nicotiana attenuata, 109219513, beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 
109212347, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109225359, beta-glucosidase 47-like isoform X1, 
KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109216742, beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, 
Nicotiana attenuata, 109216743, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109222485, 
beta-glucosidase 47-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109239927, beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Nicotiana attenuata, 109206440, beta-glucosidase 18-like isoform X1, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 
109206510, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109218525, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109205466, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, 
Nicotiana attenuata, 109209672, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Nicotiana attenuata, 109232742, 
feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, 109232743, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, Nicotiana attenuata, 109235784, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, 
109228288, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, 109226105, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Nicotiana attenuata, 109239160, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, 
Nicotiana attenuata, 109239161, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Nicotiana attenuata, 109220373, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Nicotiana attenuata, 109214311, scopoletin glucosyltransferase, KO:K23260, 
EC:2.4.1.128, 
