Hevea brasiliensis, 110655301, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Hevea brasiliensis, 110668141, phenylalanine ammonia-lyase-like, 
EC:2.1.1.104, Hevea brasiliensis, 110634071, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1, KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 
110634084, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1, KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 110635872, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, 
KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 110641698, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, 
Hevea brasiliensis, 110645232, caffeoyl-CoA O-methyltransferase-like, KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 110645234, 
caffeoyl-CoA O-methyltransferase-like isoform X1, KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 110647281, caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, 
EC:2.1.1.104, Hevea brasiliensis, 110647282, caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 
110667357, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 110668325, caffeoyl-CoA O-methyltransferase 1-like, 
KO:K00588, EC:2.1.1.104, Hevea brasiliensis, 110640790, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, 
Hevea brasiliensis, 110641227, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Hevea brasiliensis, 110641228, 
cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Hevea brasiliensis, 110637343, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Hevea brasiliensis, 110637318, aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, EC:1.2.1.68, Hevea brasiliensis, 
110637319, aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, EC:1.2.1.68, Hevea brasiliensis, 110637342, aldehyde dehydrogenase family 2 member C4-like isoform X1, 
KO:K12355, EC:1.2.1.68, Hevea brasiliensis, 110639562, cytochrome P450 84A1-like, KO:K09755, EC:1.14.-.-, 
Hevea brasiliensis, 110651225, cytochrome P450 84A1-like, KO:K09755, EC:1.14.-.-, Hevea brasiliensis, 110635655, 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110667558, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Hevea brasiliensis, 110646402, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 
110650778, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110668919, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110668933, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Hevea brasiliensis, 110668193, anthranilate N-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110651119, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110663184, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Hevea brasiliensis, 110660998, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 
110666566, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110666571, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110667200, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Hevea brasiliensis, 110633210, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110634655, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110634239, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Hevea brasiliensis, 110637255, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 
110634596, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Hevea brasiliensis, 110642763, cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Hevea brasiliensis, 110671645, probable cinnamyl alcohol dehydrogenase 1 isoform X1, KO:K00083, EC:1.1.1.195, 
Hevea brasiliensis, 110637089, probable cinnamyl alcohol dehydrogenase, KO:K00083, EC:1.1.1.195, Hevea brasiliensis, 110644492, 
probable mannitol dehydrogenase, KO:K00083, EC:1.1.1.195, Hevea brasiliensis, 110649294, probable cinnamyl alcohol dehydrogenase, KO:K00083, 
EC:1.1.1.195, Hevea brasiliensis, 110650821, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Hevea brasiliensis, 
110655922, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Hevea brasiliensis, 110673551, probable cinnamyl alcohol dehydrogenase 9, 
KO:K00083, EC:1.1.1.195, Hevea brasiliensis, 110670416, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, 
Hevea brasiliensis, 110634568, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Hevea brasiliensis, 110646559, 
berberine bridge enzyme-like 13, KO:K22395, EC:1.1.1.195, Hevea brasiliensis, 110637206, LOW QUALITY PROTEIN: 1-Cys peroxiredoxin, KO:K11188, 
EC:1.11.1.7 1.11.1.27 3.1.1.-, Hevea brasiliensis, 110662453, peroxidase 55-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110667149, peroxidase 20, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110645686, putative Peroxidase 48, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110648185, peroxidase 27-like isoform X1, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110650461, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110671352, 
peroxidase 46-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110651960, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110651961, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110655778, peroxidase 60, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110657845, peroxidase 11-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110648485, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110656258, peroxidase 10-like isoform X1, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110657294, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110671232, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110659221, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110670267, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110670277, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110670932, peroxidase 24-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110670949, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110673631, 
peroxidase 19-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110666301, peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110670691, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110673346, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110644167, peroxidase 4-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110654754, peroxidase 25-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110650665, peroxidase 16-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110660680, 
peroxidase 11, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110668197, peroxidase 47, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110671245, probable peroxidase 61, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110673948, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110673949, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110657069, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110663733, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110665127, 
peroxidase 73-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110668344, cationic peroxidase 2-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110668351, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110669404, peroxidase 40, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110645570, peroxidase 15-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110645587, peroxidase 10, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110645836, peroxidase 4-like isoform X1, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110646976, 
peroxidase N1-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110648919, peroxidase 41-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110655611, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110658821, peroxidase 56-like isoform X1, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110658822, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110658823, peroxidase 2-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110658824, peroxidase 56-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110651595, 
putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110652700, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110649697, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110649698, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110649699, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110652915, peroxidase A2-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110652916, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110662944, 
peroxidase 17-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110673710, peroxidase 7-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110664391, peroxidase 7-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110660442, peroxidase 31-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110660460, peroxidase 3-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110661574, peroxidase A2-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110665584, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110671576, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110671582, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110645884, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110648155, peroxidase 39-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110648156, LOW QUALITY PROTEIN: peroxidase 39-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110652184, peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110652185, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110655708, 
peroxidase 44-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110661640, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110661657, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110661658, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110661659, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110661660, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110671135, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110673119, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110660224, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110668074, peroxidase 4, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110668101, peroxidase 4-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110668525, peroxidase 72-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110670891, peroxidase 24-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110638230, peroxidase 19-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110638234, 
peroxidase 19-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110643336, peroxidase 31-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110633512, peroxidase 17-like isoform X1, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110632574, peroxidase 9, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110633659, peroxidase 27-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110640338, peroxidase 21, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110641924, peroxidase 12-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110641935, 
peroxidase 12-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110641938, peroxidase 12-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110631562, peroxidase 7-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110643170, cationic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110633993, peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110641624, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110636632, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110632243, 
peroxidase 42-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110637333, peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110637334, peroxidase 27-like isoform X1, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110632988, peroxidase 66, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110635585, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110643002, peroxidase P7-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110637505, peroxidase N, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110640129, 
peroxidase 42-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110642232, peroxidase 64-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110642361, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110642370, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110642371, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110642373, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Hevea brasiliensis, 110642463, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110641187, 
cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110641199, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Hevea brasiliensis, 110631948, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 
110631951, peroxidase 24-like, KO:K00430, EC:1.11.1.7, Hevea brasiliensis, 110669959, anthocyanidin 3-O-glucosyltransferase 5-like, 
KO:K12356, EC:2.4.1.111, Hevea brasiliensis, 110640090, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, EC:2.4.1.111, 
Hevea brasiliensis, 110635763, beta-glucosidase 11-like isoform X1, KO:K01188, EC:3.2.1.21, Hevea brasiliensis, 110632813, 
beta-glucosidase 42 isoform X1, KO:K01188, EC:3.2.1.21, Hevea brasiliensis, 110643129, putative beta-glucosidase 41 isoform X1, KO:K01188, 
EC:3.2.1.21, Hevea brasiliensis, 110652875, beta-glucosidase 40, KO:K01188, EC:3.2.1.21, Hevea brasiliensis, 
110673698, beta-glucosidase 13-like, KO:K01188, EC:3.2.1.21, Hevea brasiliensis, 110664579, uncharacterized protein LOC110664579, 
KO:K05349, EC:3.2.1.21, Hevea brasiliensis, 110671040, uncharacterized protein LOC110671040, KO:K05349, EC:3.2.1.21, 
Hevea brasiliensis, 110673764, uncharacterized protein LOC110673764, KO:K05349, EC:3.2.1.21, Hevea brasiliensis, 110668929, 
uncharacterized protein LOC110668929, KO:K05349, EC:3.2.1.21, Hevea brasiliensis, 110655720, uncharacterized protein LOC110655720, KO:K05349, 
EC:3.2.1.21, Hevea brasiliensis, 110669004, uncharacterized protein LOC110669004, KO:K05349, EC:3.2.1.21, Hevea brasiliensis, 
110640246, uncharacterized protein LOC110640246 isoform X1, KO:K05349, EC:3.2.1.21, Hevea brasiliensis, 110669904, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 110651020, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, 
Hevea brasiliensis, 110657378, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 110640935, 
beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 110636817, beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Hevea brasiliensis, 110638892, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 
110638893, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 110641335, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 110641336, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, 
Hevea brasiliensis, 110641338, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Hevea brasiliensis, 110646506, 
feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, EC:1.14.11.61, Hevea brasiliensis, 110652136, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, 
EC:1.14.11.61, Hevea brasiliensis, 110653324, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Hevea brasiliensis, 
110653328, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Hevea brasiliensis, 110649460, feruloyl CoA ortho-hydroxylase 2-like, 
KO:K06892, EC:1.14.11.61, Hevea brasiliensis, 110642752, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, 
Hevea brasiliensis, 110642753, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Hevea brasiliensis, 110642754, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Hevea brasiliensis, 110642760, feruloyl CoA ortho-hydroxylase 2-like, KO:K06892, 
EC:1.14.11.61, Hevea brasiliensis, 110649601, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 
110667876, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 110670101, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 110661609, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Hevea brasiliensis, 110652094, scopoletin glucosyltransferase-like isoform X1, KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 110671769, 
scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 110648122, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Hevea brasiliensis, 110663373, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 
110663374, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Hevea brasiliensis, 110641449, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, 
