Capsicum annuum, 107854291, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Capsicum annuum, 107863937, phenylalanine ammonia-lyase-like, 
Capsicum annuum, 107841038, ALDH1, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Capsicum annuum, 
107841040, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Capsicum annuum, 107862991, CAOMT, 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Capsicum annuum, 107862989, caffeic acid 3-O-methyltransferase, KO:K13066, 
EC:2.1.1.68, Capsicum annuum, 107874582, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Capsicum annuum, 
107875336, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Capsicum annuum, 107874581, caffeic acid 3-O-methyltransferase-like, 
KO:K13066, EC:2.1.1.68, Capsicum annuum, 107873006, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Capsicum annuum, 107845577, caffeic acid 3-O-methyltransferase 1-like, KO:K13066, EC:2.1.1.68, Capsicum annuum, 107840223, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Capsicum annuum, 107851230, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Capsicum annuum, 107858423, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Capsicum annuum, 
107861101, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Capsicum annuum, 107853838, flavin-dependent oxidoreductase FOX2-like, 
KO:K22395, EC:1.1.1.195, Capsicum annuum, 107869417, reticuline oxidase-like, KO:K22395, EC:1.1.1.195, 
Capsicum annuum, 107859012, flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Capsicum annuum, 107859014, 
flavin-dependent oxidoreductase FOX2-like, KO:K22395, EC:1.1.1.195, Capsicum annuum, 107859058, flavin-dependent oxidoreductase FOX2-like, KO:K22395, 
EC:1.1.1.195, Capsicum annuum, 107859062, cannabidiolic acid synthase-like, KO:K22395, EC:1.1.1.195, Capsicum annuum, 
107859064, tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, Capsicum annuum, 107859065, cannabidiolic acid synthase-like, 
KO:K22395, EC:1.1.1.195, Capsicum annuum, 107863085, tetrahydrocannabinolic acid synthase-like, KO:K22395, EC:1.1.1.195, 
Capsicum annuum, 107848474, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Capsicum annuum, 107852267, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860606, peroxidase 63, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107861812, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107872526, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107872642, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107858298, peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107854094, suberization-associated anionic peroxidase 2-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107852745, 
peroxidase 11, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107855938, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107856092, peroxidase 45-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107853405, peroxidase 9-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107854529, peroxidase 60, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107868170, peroxidase 72-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107877215, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107877245, 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107877246, peroxidase 27-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107877264, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107874082, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107874093, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107874527, peroxidase N, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107853865, lignin-forming anionic peroxidase, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107853869, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107852613, peroxidase 15-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107860047, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107861283, peroxidase 7, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107861303, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860206, peroxidase 51, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107863896, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107871376, 
peroxidase 5-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860012, peroxidase 72-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107860013, peroxidase 49-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107861195, peroxidase 19, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107867617, peroxidase 12-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107867619, peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107869386, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107850917, 
peroxidase 41-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860325, peroxidase 10-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107865010, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107867709, peroxidase 43-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107869901, peroxidase 40, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107840010, peroxidase 43, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107878262, peroxidase 3-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107851630, 
peroxidase 17, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107863356, peroxidase 66, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107874883, peroxidase 41-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107875418, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107840318, peroxidase 10, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107840027, peroxidase, peroxidase N1-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107841822, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107847017, peroxidase 44-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107847025, peroxidase 6, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107849622, peroxidase 46-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107871140, POD, peroxidase P7, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107857270, probable peroxidase 26, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107859584, peroxidase 42, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107841908, peroxidase 27-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107866097, PO2, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107849754, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860938, lignin-forming anionic peroxidase-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107866093, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107866094, lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107866095, 
lignin-forming anionic peroxidase-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107866096, lignin-forming anionic peroxidase-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107844720, peroxidase A2-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107844773, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107850085, peroxidase 5-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107850104, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107843551, peroxidase 21-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860772, 
peroxidase 55, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107860773, peroxidase 16-like, KO:K00430, 
EC:1.11.1.7, Capsicum annuum, 107863246, peroxidase P7-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 
107867212, peroxidase 47-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107844910, peroxidase 4-like, 
KO:K00430, EC:1.11.1.7, Capsicum annuum, 107859813, peroxidase 64-like, KO:K00430, EC:1.11.1.7, 
Capsicum annuum, 107848884, peroxidase 64-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107838724, 
peroxidase 57-like, KO:K00430, EC:1.11.1.7, Capsicum annuum, 107854671, anthocyanidin 3-O-glucosyltransferase 5-like, KO:K12356, 
EC:2.4.1.111, Capsicum annuum, 107861323, anthocyanidin 3-O-glucosyltransferase 5, KO:K12356, EC:2.4.1.111, Capsicum annuum, 
107854421, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, Capsicum annuum, 107851487, beta-glucosidase 42, 
KO:K01188, EC:3.2.1.21, Capsicum annuum, 107854417, beta-glucosidase 11-like, KO:K01188, EC:3.2.1.21, 
Capsicum annuum, 107855200, furcatin hydrolase-like, KO:K01188, EC:3.2.1.21, Capsicum annuum, 107855205, 
beta-glucosidase 12-like, KO:K01188, EC:3.2.1.21, Capsicum annuum, 107876837, beta-glucosidase 40, KO:K01188, 
EC:3.2.1.21, Capsicum annuum, 107878730, putative beta-glucosidase 41, KO:K01188, EC:3.2.1.21, Capsicum annuum, 
107853421, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum annuum, 107853937, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Capsicum annuum, 107875944, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, 
Capsicum annuum, 107870058, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum annuum, 107847877, 
beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum annuum, 107846854, beta-glucosidase BoGH3B-like, KO:K05349, 
EC:3.2.1.21, Capsicum annuum, 107875489, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum annuum, 
107875707, beta-glucosidase BoGH3B-like, KO:K05349, EC:3.2.1.21, Capsicum annuum, 107839396, beta-glucosidase BoGH3B-like, 
KO:K05349, EC:3.2.1.21, Capsicum annuum, 107876908, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, 
Capsicum annuum, 107869182, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum annuum, 107879260, 
beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, Capsicum annuum, 107878684, beta-glucosidase 18-like, KO:K05350, 
EC:3.2.1.21, Capsicum annuum, 107878685, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum annuum, 
107878687, beta-glucosidase 18-like, KO:K05350, EC:3.2.1.21, Capsicum annuum, 107859563, beta-glucosidase 18-like, 
KO:K05350, EC:3.2.1.21, Capsicum annuum, 107862203, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, 
Capsicum annuum, 107848279, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, Capsicum annuum, 107848763, 
feruloyl CoA ortho-hydroxylase 1, KO:K06892, EC:1.14.11.61, Capsicum annuum, 107840246, scopoletin glucosyltransferase-like, KO:K23260, 
EC:2.4.1.128, Capsicum annuum, 107840244, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, Capsicum annuum, 
107840247, scopoletin glucosyltransferase, KO:K23260, EC:2.4.1.128, Capsicum annuum, 107840245, scopoletin glucosyltransferase-like, 
KO:K23260, EC:2.4.1.128, Capsicum annuum, 107840251, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
Capsicum annuum, 107879496, scopoletin glucosyltransferase-like, KO:K23260, EC:2.4.1.128, 
