15Z	Oc1ccc2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3	InChI=1S/C15H10O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-7,16-17,19H	PVFGJHYLIHMCQD-UHFFFAOYSA-N	5322065	NONE	NONE
16S	Oc1ccc(cc1O)C2=CC(=O)c3ccccc3O2	InChI=1S/C15H10O4/c16-11-6-5-9(7-13(11)18)15-8-12(17)10-3-1-2-4-14(10)19-15/h1-8,16,18H	SRNPMQHYWVKBAV-UHFFFAOYSA-N	145726	NONE	NONE
1UR	OC(=O)c1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C16H10O4/c17-13-9-15(20-14-4-2-1-3-12(13)14)10-5-7-11(8-6-10)16(18)19/h1-9H,(H,18,19)	GDILHIUGUNCNDU-UHFFFAOYSA-N	5272796	NONE	NONE
1UT	CN(C)c1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C17H15NO2/c1-18(2)13-9-7-12(8-10-13)17-11-15(19)14-5-3-4-6-16(14)20-17/h3-11H,1-2H3	PCKPYMMHFFXBPF-UHFFFAOYSA-N	1241435	NONE	NONE
1UW	CCOC(=O)c1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C18H14O4/c1-2-21-18(20)13-9-7-12(8-10-13)17-11-15(19)14-5-3-4-6-16(14)22-17/h3-11H,2H2,1H3	DNBRLXGCVKXLTH-UHFFFAOYSA-N	2825269	NONE	NONE
1UZ	O=C1C=C(Oc2ccccc12)c3ccc(cc3)C#N	InChI=1S/C16H9NO2/c17-10-11-5-7-12(8-6-11)16-9-14(18)13-3-1-2-4-15(13)19-16/h1-9H	VDQXIGZGRYCKAE-UHFFFAOYSA-N	45116983	NONE	NONE
1V0	[O-][N+](=O)c1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C15H9NO4/c17-13-9-15(20-14-4-2-1-3-12(13)14)10-5-7-11(8-6-10)16(18)19/h1-9H	CKSVYVHLZNMXLX-UHFFFAOYSA-N	622510	NONE	NONE
1V1	Clc1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C15H9ClO2/c16-11-7-5-10(6-8-11)15-9-13(17)12-3-1-2-4-14(12)18-15/h1-9H	BUEVXCMRYKDSMY-UHFFFAOYSA-N	151515	NONE	NONE
1V3	Clc1ccc2OC(=CC(=O)c2c1)c3ccccc3	InChI=1S/C15H9ClO2/c16-11-6-7-14-12(8-11)13(17)9-15(18-14)10-4-2-1-3-5-10/h1-9H	IFNDLWHUYFSXBK-UHFFFAOYSA-N	248021	NONE	NONE
1V4	Fc1ccc2OC(=CC(=O)c2c1)c3ccccc3	InChI=1S/C15H9FO2/c16-11-6-7-14-12(8-11)13(17)9-15(18-14)10-4-2-1-3-5-10/h1-9H	OUYOSBQKQPUNJK-UHFFFAOYSA-N	261395	NONE	NONE
1V8	O=C1C=C(Oc2ccccc12)c3ccc4OCOc4c3	InChI=1S/C16H10O4/c17-12-8-15(20-13-4-2-1-3-11(12)13)10-5-6-14-16(7-10)19-9-18-14/h1-8H,9H2	XJKWXDPKDNEEKV-UHFFFAOYSA-N	265714	NONE	NONE
1VF	CN1CCN(CC1)C(=O)c2ccc(cc2)C3=CC(=O)c4ccccc4O3	InChI=1S/C21H20N2O3/c1-22-10-12-23(13-11-22)21(25)16-8-6-15(7-9-16)20-14-18(24)17-4-2-3-5-19(17)26-20/h2-9,14H,10-13H2,1H3	GCCLEHACQGEQIL-UHFFFAOYSA-N	46742375	NONE	NONE
1VG	O=C1C=C(Oc2ccccc12)c3ccc(cc3)c4[nH]nnn4	InChI=1S/C16H10N4O2/c21-13-9-15(22-14-4-2-1-3-12(13)14)10-5-7-11(8-6-10)16-17-19-20-18-16/h1-9H,(H,17,18,19,20)	CDSSKRNFCDQPBZ-UHFFFAOYSA-N	46742374	NONE	NONE
1W3	Cc1cc(\C=C\C2=C(C)c3ccc(O)cc3OC2=O)cc(C)c1O	InChI=1S/C20H18O4/c1-11-8-14(9-12(2)19(11)22)4-6-17-13(3)16-7-5-15(21)10-18(16)24-20(17)23/h4-10,21-22H,1-3H3/b6-4+	YBZSRAYJXVITOB-GQCTYLIASA-N	72544101	NONE	NONE
20B	Oc1cccc(c1)C2=CC(=O)c3ccccc3O2	InChI=1S/C15H10O3/c16-11-5-3-4-10(8-11)15-9-13(17)12-6-1-2-7-14(12)18-15/h1-9,16H	ISZWRZGKEWQACU-UHFFFAOYSA-N	229015	NONE	NONE
20D	Fc1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C15H9FO2/c16-11-7-5-10(6-8-11)15-9-13(17)12-3-1-2-4-14(12)18-15/h1-9H	ZHXIMGYEMBZGOI-UHFFFAOYSA-N	261391	NONE	NONE
28E	O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1	PFTAWBLQPZVEMU-UKRRQHHQSA-N	72276	90	583912
2HI	O[C@H]1Oc2cc(O)ccc2C(=O)[C@@H]1c3ccc(O)cc3	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-14(18)11-6-5-10(17)7-12(11)20-15(13)19/h1-7,13,15-17,19H/t13-,15-/m0/s1	YACUBWOKTPOMNW-ZFWWWQNUSA-N	10062691	NONE	NONE
2SR	COc1ccc(cc1OC)c2cc(C)cc3C(=C[C@H](Oc23)C4CCOCC4)O	InChI=1S/C23H26O5/c1-14-10-17(16-4-5-20(25-2)22(12-16)26-3)23-18(11-14)19(24)13-21(28-23)15-6-8-27-9-7-15/h4-5,10-13,15,21,24H,6-9H2,1-3H3/t21-/m0/s1	RVKGQUJUMMUCKA-NRFANRHFSA-N	86580367	NONE	NONE
30Z	C[C@@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc2ccc(O)c(O)c2	InChI=1S/C18H22O4/c1-11(7-13-3-5-15(19)17(21)9-13)12(2)8-14-4-6-16(20)18(22)10-14/h3-6,9-12,19-22H,7-8H2,1-2H3/t11-,12-/m0/s1	HCZKYJDFEPMADG-RYUDHWBXSA-N	688035	NONE	NONE
32Y	Nc1ccc2OC(=O)C=Cc2c1I	InChI=1S/C9H6INO2/c10-9-5-1-4-8(12)13-7(5)3-2-6(9)11/h1-4H,11H2	WWRAFPGUBABZSD-UHFFFAOYSA-N	72356	NONE	NONE
3AS	COCc1cc(O)cc2[C@@H]3CC(F)(F)C[C@@H]3[C@@H](Oc12)c4ccc(O)cc4	InChI=1S/C20H20F2O4/c1-25-10-12-6-14(24)7-15-16-8-20(21,22)9-17(16)18(26-19(12)15)11-2-4-13(23)5-3-11/h2-7,16-18,23-24H,8-10H2,1H3/t16-,17-,18-/m0/s1	GPFRMIHXGMVMGF-BZSNNMDCSA-N	16758226	NONE	NONE
3AV	Cc1ccc2OC(=O)C=Cc2c1	InChI=1S/C10H8O2/c1-7-2-4-9-8(6-7)3-5-10(11)12-9/h2-6H,1H3	FXFYOPQLGGEACP-UHFFFAOYSA-N	7092	563586	443436
3G5	OC(=O)c1ccc(cc1)C2=C(O)C(=O)c3cc(Br)cc(Br)c3O2	InChI=1S/C16H8Br2O5/c17-9-5-10-12(19)13(20)14(23-15(10)11(18)6-9)7-1-3-8(4-2-7)16(21)22/h1-6,20H,(H,21,22)	GDOSILZXICLCEI-UHFFFAOYSA-N	52113928	NONE	NONE
3L9	C[C@@H]1O[C@@H](O[C@@H]2CO[C@@H](Oc3c(O)cc(cc3O)C4=C(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O[C@@H]6O[C@H](COC(=O)\C=C\c7ccc(O)c(O)c7)[C@@H](O)[C@H](O)[C@H]6O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)C(=O)c9c(O)cc(O)cc9O4)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	InChI=1S/C53H64O33/c1-15-31(62)37(68)42(73)50(77-15)81-28-14-76-49(41(72)35(28)66)83-45-23(59)8-18(9-24(45)60)44-46(36(67)30-22(58)10-19(55)11-25(30)79-44)84-52-47(39(70)32(63)16(2)78-52)86-53-48(85-51-43(74)38(69)33(64)26(12-54)80-51)40(71)34(65)27(82-53)13-75-29(61)6-4-17-3-5-20(56)21(57)7-17/h3-11,15-16,26-28,31-35,37-43,47-60,62-66,68-74H,12-14H2,1-2H3/b6-4+/t15-,16-,26+,27+,28+,31-,32-,33+,34+,35-,37+,38-,39+,40-,41+,42+,43+,47+,48+,49-,50-,51-,52-,53-/m0/s1	FHVDXUPJFGRQLV-OWPXYNISSA-N	25230470	NONE	NONE
3QV	Oc1ccc2C=C(C#N)C(=O)Oc2c1	InChI=1S/C10H5NO3/c11-5-7-3-6-1-2-8(12)4-9(6)14-10(7)13/h1-4,12H	IJQYTHQDUDCJEQ-UHFFFAOYSA-N	5393173	NONE	NONE
3WL	Oc1cc2OC(=CC(=O)c2c(O)c1O)c3ccccc3	InChI=1S/C15H10O5/c16-9-6-11(8-4-2-1-3-5-8)20-12-7-10(17)14(18)15(19)13(9)12/h1-7,17-19H	FXNFHKRTJBSTCS-UHFFFAOYSA-N	5281605	2979	8260
3YM	COc1cc(C[C@H](N)C(O)=O)ccc1O	InChI=1S/C10H13NO4/c1-15-9-5-6(2-3-8(9)12)4-7(11)10(13)14/h2-3,5,7,12H,4,11H2,1H3,(H,13,14)/t7-/m0/s1	PFDUUKDQEHURQC-ZETCQYMHSA-N	9307	82913	1314652
47X	Oc1ccc2C(=O)C(=COc2c1)c3ccc(O)c(O)c3	InChI=1S/C15H10O5/c16-9-2-3-10-14(6-9)20-7-11(15(10)19)8-1-4-12(17)13(18)5-8/h1-7,16-18H	DDKGKOOLFLYZDL-UHFFFAOYSA-N	5284648	50399	13486
4EU	Oc1ccc(cc1)C(=O)c2ccc(O)cc2O	InChI=1S/C13H10O4/c14-9-3-1-8(2-4-9)13(17)11-6-5-10(15)7-12(11)16/h1-7,14-16H	OKJFKPFBSPZTAH-UHFFFAOYSA-N	73852	NONE	NONE
4HC	OC1=CC(=O)Oc2ccccc12	InChI=1S/C9H6O3/c10-7-5-9(11)12-8-4-2-1-3-6(7)8/h1-5,10H	VXIXUWQIVKSKSA-UHFFFAOYSA-N	54682930	40070	301141
4JQ	Nc1ccc2OC(=O)C=Cc2c1	InChI=1S/C9H7NO2/c10-7-2-3-8-6(5-7)1-4-9(11)12-8/h1-5H,10H2	ZOJAINJCZSVZGW-UHFFFAOYSA-N	46153	NONE	NONE
4MU	CC1=CC(=O)Oc2cc(O)ccc12	InChI=1S/C10H8O3/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5,11H,1H3	HSHNITRMYYLLCV-UHFFFAOYSA-N	5280567	17224	12208
57D	Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3	InChI=1S/C15H10O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-8,16-17H	RTIXKCRFFJGDFG-UHFFFAOYSA-N	5281607	75095	117
5J7	C[C@@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4cc(O)c(O)c(O)c4)[C@H](O[C@@H]5O[C@H](COC(=O)\C=C\c6ccc(O)c(O)c6)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]1O	InChI=1S/C36H36O20/c1-12-25(44)30(49)34(56-35-31(50)29(48)27(46)22(54-35)11-51-23(43)5-3-13-2-4-16(38)17(39)6-13)36(52-12)55-33-28(47)24-18(40)9-15(37)10-21(24)53-32(33)14-7-19(41)26(45)20(42)8-14/h2-10,12,22,25,27,29-31,34-42,44-46,48-50H,11H2,1H3/b5-3+/t12-,22+,25-,27+,29-,30+,31+,34+,35-,36-/m0/s1	YHIHWLPOKDIYGF-ZLGVOOGTSA-N	14034277	NONE	NONE
6B5	COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3	InChI=1S/C16H12O6/c1-21-9-5-12(19)16-13(20)7-14(22-15(16)6-9)8-2-3-10(17)11(18)4-8/h2-7,17-19H,1H3	RRRSSAVLTCVNIQ-UHFFFAOYSA-N	5318214	NONE	NONE
6BK	Oc1ccc(cc1O)C2=CC(=O)c3c(O)cccc3O2	InChI=1S/C15H10O5/c16-9-5-4-8(6-11(9)18)14-7-12(19)15-10(17)2-1-3-13(15)20-14/h1-7,16-18H	KXPQYWKYYDYOCQ-UHFFFAOYSA-N	88281	NONE	NONE
6J6	Oc1ccc2O[C@H](CC(=O)c2c1)c3ccc(O)c(O)c3	InChI=1S/C15H12O5/c16-9-2-4-14-10(6-9)12(18)7-15(20-14)8-1-3-11(17)13(19)5-8/h1-6,15-17,19H,7H2/t15-/m1/s1	SHYJMIHVPPCBNP-OAHLLOKOSA-N	126961331	NONE	NONE
6JM	Oc1ccc2OC(=C(O)C(=O)c2c1)c3ccc(O)c(O)c3	InChI=1S/C15H10O6/c16-8-2-4-12-9(6-8)13(19)14(20)15(21-12)7-1-3-10(17)11(18)5-7/h1-6,16-18,20H	BXPBSBBFPNTFFT-UHFFFAOYSA-N	667581	NONE	NONE
6JO	Oc1cccc(c1)C2=C(O)C(=O)c3cc(O)ccc3O2	InChI=1S/C15H10O5/c16-9-3-1-2-8(6-9)15-14(19)13(18)11-7-10(17)4-5-12(11)20-15/h1-7,16-17,19H	LRMWPUURCIXKOC-UHFFFAOYSA-N	688803	NONE	NONE
6JP	COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2	InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1	AIONOLUJZLIMTK-AWEZNQCLSA-N	72281	28230	399121
6NL	COc1ccc(\C=C(/C)C(=O)c2cc(OC)c3OCOc3c2)cc1O	InChI=1S/C19H18O6/c1-11(6-12-4-5-15(22-2)14(20)7-12)18(21)13-8-16(23-3)19-17(9-13)24-10-25-19/h4-9,20H,10H2,1-3H3/b11-6+	IYAYDNORGNGYOF-IZZDOVSWSA-N	119081695	NONE	NONE
6QT	Oc1cccc(c1)[C@H]2CC(=O)c3cc(O)ccc3O2	InChI=1S/C15H12O4/c16-10-3-1-2-9(6-10)15-8-13(18)12-7-11(17)4-5-14(12)19-15/h1-7,15-17H,8H2/t15-/m1/s1	FTDCCBIDVVGONG-OAHLLOKOSA-N	124222415	NONE	NONE
7CA	COc1ccc(cc1)C2=C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C(=O)c4c(O)cc(O)c(CCC(C)C)c4O2	InChI=1S/C27H32O10/c1-12(2)5-10-16-17(28)11-18(29)19-21(31)26(37-27-23(33)22(32)20(30)13(3)35-27)24(36-25(16)19)14-6-8-15(34-4)9-7-14/h6-9,11-13,20,22-23,27-30,32-33H,5,10H2,1-4H3/t13-,20-,22+,23+,27-/m0/s1	PFVZUXQCELCLBL-LVKFHIPRSA-N	6852214	NONE	NONE
7DP	CC(=O)NCCc1ccc(O)c(O)c1	InChI=1S/C10H13NO3/c1-7(12)11-5-4-8-2-3-9(13)10(14)6-8/h2-3,6,13-14H,4-5H2,1H3,(H,11,12)	OFSAJYZMIPNPHE-UHFFFAOYSA-N	100526	125678	137743
7FC	OC(=O)c1ccc(cc1)C2=C(O)C(=O)c3cc(Cl)cc(Cl)c3O2	InChI=1S/C16H8Cl2O5/c17-9-5-10-12(19)13(20)14(23-15(10)11(18)6-9)7-1-3-8(4-2-7)16(21)22/h1-6,20H,(H,21,22)	CFWCAEJMOUILDR-UHFFFAOYSA-N	38997316	NONE	NONE
7LU	Oc1ccc(cc1O)C2=CC(=O)c3c(O)cc(Cl)cc3O2	InChI=1S/C15H9ClO5/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,17-19H	OYAMKEPRYMXRQW-UHFFFAOYSA-N	126843272	NONE	NONE
7V6	Bc1ccc(cc1)[C@H](O)CCc2ccc(O)c(c2)C(O)=O	InChI=1S/C16H17BO4/c17-12-5-3-11(4-6-12)14(18)7-1-10-2-8-15(19)13(9-10)16(20)21/h2-6,8-9,14,18-19H,1,7,17H2,(H,20,21)/t14-/m1/s1	AIYINTRBIVHQTG-CQSZACIVSA-N	137348666	NONE	NONE
8CM	Oc1cccc2C=CC(=O)Oc12	InChI=1S/C9H6O3/c10-7-3-1-2-6-4-5-8(11)12-9(6)7/h1-5,10H	DPTUTXWBBUARQB-UHFFFAOYSA-N	122783	NONE	NONE
8U8	CC1=CC(=O)Oc2cc(O[C@@H]3O[C@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)ccc12	InChI=1S/C16H16O9/c1-6-4-10(17)24-9-5-7(2-3-8(6)9)23-16-13(20)11(18)12(19)14(25-16)15(21)22/h2-5,11-14,16,18-20H,1H3,(H,21,22)/t11-,12-,13+,14+,16+/m0/s1	ARQXEQLMMNGFDU-ZHMBSYLPSA-N	128746	NONE	NONE
93H	COc1ccc(CCNCCc2ccc(O)c(O)c2)cc1	InChI=1S/C17H21NO3/c1-21-15-5-2-13(3-6-15)8-10-18-11-9-14-4-7-16(19)17(20)12-14/h2-7,12,18-20H,8-11H2,1H3	YUWZXUMQIZRXEN-UHFFFAOYSA-N	131632996	NONE	NONE
9CC	C[C@@H]1CCC[C@@H](C[C@H]2Cc3cc(O)cc(O)c3C(=O)O2)O1	InChI=1S/C16H20O5/c1-9-3-2-4-12(20-9)8-13-6-10-5-11(17)7-14(18)15(10)16(19)21-13/h5,7,9,12-13,17-18H,2-4,6,8H2,1H3/t9-,12+,13-/m1/s1	WOMKDMUZNBFXKG-JIMOISOXSA-N	45488860	NONE	NONE
9CF	C[C@@H]1CCC[C@H](C[C@@H]2Cc3cc(O)cc(O)c3C(=O)O2)O1	InChI=1S/C16H20O5/c1-9-3-2-4-12(20-9)8-13-6-10-5-11(17)7-14(18)15(10)16(19)21-13/h5,7,9,12-13,17-18H,2-4,6,8H2,1H3/t9-,12-,13+/m1/s1	WOMKDMUZNBFXKG-WQAKAFBOSA-N	92276885	NONE	NONE
9CU	C[C@@H]1CCC[C@H](C[C@H]2Cc3cc(O)cc(O)c3C(=O)O2)O1	InChI=1S/C16H20O5/c1-9-3-2-4-12(20-9)8-13-6-10-5-11(17)7-14(18)15(10)16(19)21-13/h5,7,9,12-13,17-18H,2-4,6,8H2,1H3/t9-,12-,13-/m1/s1	WOMKDMUZNBFXKG-OASPWFOLSA-N	62705396	NONE	NONE
9CX	C[C@H]1CCC[C@H](C[C@@H]2Cc3cc(O)cc(O)c3C(=O)O2)O1	InChI=1S/C16H20O5/c1-9-3-2-4-12(20-9)8-13-6-10-5-11(17)7-14(18)15(10)16(19)21-13/h5,7,9,12-13,17-18H,2-4,6,8H2,1H3/t9-,12+,13-/m0/s1	WOMKDMUZNBFXKG-BIMULSAOSA-N	66575611	NONE	NONE
A0O	COc1ccc2C=CC(=O)Oc2c1CC=C(C)C	InChI=1S/C15H16O3/c1-10(2)4-7-12-13(17-3)8-5-11-6-9-14(16)18-15(11)12/h4-6,8-9H,7H2,1-3H3	MBRLOUHOWLUMFF-UHFFFAOYSA-N	10228	69832	52229
A63	COc1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C16H12O3/c1-18-12-8-6-11(7-9-12)16-10-14(17)13-4-2-3-5-15(13)19-16/h2-10H,1H3	OMICQBVLCVRFGN-UHFFFAOYSA-N	77793	114194	16312
A64	CC(C)c1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C18H16O2/c1-12(2)13-7-9-14(10-8-13)18-11-16(19)15-5-3-4-6-17(15)20-18/h3-12H,1-2H3	PYTOHIUBXSJKQH-UHFFFAOYSA-N	2802462	NONE	NONE
A73	Brc1ccc(cc1)C2=CC(=O)c3ccccc3O2	InChI=1S/C15H9BrO2/c16-11-7-5-10(6-8-11)15-9-13(17)12-3-1-2-4-14(12)18-15/h1-9H	URZUAHXELZUWFE-UHFFFAOYSA-N	1686	NONE	NONE
AFE	C[C@@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)cc4)[C@H](O)[C@H](O)[C@H]1O	InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1	SOSLMHZOJATCCP-AEIZVZFYSA-N	5316673	80790	240528
AGI	Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2	InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H	KZNIFHPLKGYRTM-UHFFFAOYSA-N	5280443	18388	28
ALE	CNC[C@H](O)c1ccc(O)c(O)c1	InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3/t9-/m0/s1	UCTWMZQNUQWSLP-VIFPVBQESA-N	139148732	28918	679
B7S	Oc1cc(O)c2C(=O)C=COc2c1	InChI=1S/C9H6O4/c10-5-3-7(12)9-6(11)1-2-13-8(9)4-5/h1-4,10,12H	NYCXYKOXLNBYID-UHFFFAOYSA-N	5281343	2007	3604316
BCU	OC[C@@H]1COc2ccccc2C1	InChI=1S/C10H12O2/c11-6-8-5-9-3-1-2-4-10(9)12-7-8/h1-4,8,11H,5-7H2/t8-/m1/s1	UPDSWAQIQZFOLF-MRVPVSSYSA-N	7162114	NONE	NONE
BHF	O=C1C=C(Oc2c1ccc3ccccc23)c4ccccc4	InChI=1S/C19H12O2/c20-17-12-18(14-7-2-1-3-8-14)21-19-15-9-5-4-6-13(15)10-11-16(17)19/h1-12H	VFMMPHCGEFXGIP-UHFFFAOYSA-N	11790	76995	283196
BUN	Oc1ccc(c(O)c1)C(=O)\C=C\c2ccc(O)c(O)c2	InChI=1S/C15H12O5/c16-10-3-4-11(14(19)8-10)12(17)5-1-9-2-6-13(18)15(20)7-9/h1-8,16,18-20H/b5-1+	AYMYWHCQALZEGT-ORCRQEGFSA-N	5281222	3237	128000
BUU	N[C@@H](Cc1ccc(O)c(OCc2ccccc2[N+]([O-])=O)c1)C(O)=O	InChI=1S/C16H16N2O6/c17-12(16(20)21)7-10-5-6-14(19)15(8-10)24-9-11-3-1-2-4-13(11)18(22)23/h1-6,8,12,19H,7,9,17H2,(H,20,21)/t12-/m0/s1	NKOMHGJPHGNQSO-LBPRGKRZSA-N	129900087	NONE	NONE
BVB	Oc1cc(O)cc(/C=C/c2ccc(Br)cc2)c1	InChI=1S/C14H11BrO2/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,16-17H/b2-1+	NCJVLKFAQIWASE-OWOJBTEDSA-N	18475115	NONE	NONE
CAQ	Oc1ccccc1O	InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H	YCIMNLLNPGFGHC-UHFFFAOYSA-N	289	18135	280998
CC2	Cc1cc2OC(=O)C(=C(O)c2cc1C)Cc3cccc4ccccc34	InChI=1S/C22H18O3/c1-13-10-18-20(11-14(13)2)25-22(24)19(21(18)23)12-16-8-5-7-15-6-3-4-9-17(15)16/h3-11,23H,12H2,1-2H3	CLIXIKBUGAHFJT-UHFFFAOYSA-N	54736423	NONE	NONE
CC6	Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccccc3O)O	InChI=1S/C15H10O6/c16-7-5-10(18)12-11(6-7)21-15(14(20)13(12)19)8-3-1-2-4-9(8)17/h1-6,16-18,20H	WCNLFPKXBGWWDS-UHFFFAOYSA-N	5281610	75107	503168
CHV	Oc1ccc2C=C(Oc3ccc(Cl)cc3O)C(=O)Oc2c1	InChI=1S/C15H9ClO5/c16-9-2-4-12(11(18)6-9)20-14-5-8-1-3-10(17)7-13(8)21-15(14)19/h1-7,17-18H	UBCXCRQXPSAIBV-UHFFFAOYSA-N	71768352	NONE	NONE
CM4	C[C@H]1[C@@H]([C@@H](Oc2ccc(O)cc12)c3ccc(OCCN4CCCC4)cc3)c5ccc(O)cc5	InChI=1S/C28H31NO4/c1-19-25-18-23(31)10-13-26(25)33-28(27(19)20-4-8-22(30)9-5-20)21-6-11-24(12-7-21)32-17-16-29-14-2-3-15-29/h4-13,18-19,27-28,30-31H,2-3,14-17H2,1H3/t19-,27-,28+/m1/s1	XPVKGTWRXBSJKO-LHXLBICKSA-N	4369568	41593	181936
